hour_number,price,to_drop,demand,capacity
20231230-6,26.88,DSO-RD;,13753,26386
20231230-7,25.88,DSO-RD;,14160,26383
20231230-8,25.05,DSO-RD;,14703,26186
20231230-9,25.96,DSO-RD;,15241,26154
20231230-10,28.86,DSO-RD;,15844,26229
20231230-11,39.84,DSO-RD;,16323,26208
20231230-12,41.01,DSO-RD;,16700,26370
20231230-13,51.93,DSO-RD;,16999,26334
20231230-14,35.22,DSO-RD;,17118,26321
20231230-15,29.0,DSO-RD;,17188,26310
20231230-16,28.01,DSO-RD;,17361,26206
20231230-17,35.82,DSO-RD;,17899,26019
20231230-18,38.72,DSO-RD;,18138,26017
20231230-19,36.03,DSO-RD;,17798,25964
20231230-20,37.37,DSO-RD;,17328,26013
20231230-21,33.55,DSO-RD;,16862,26087
20231230-22,34.63,DSO-RD;,16304,26135
20231230-23,31.0,DSO-RD;,15470,26126
20231230-24,28.94,DSO-RD;,14774,26209
20231218-1,26.88,DSO-RD;,14088,26580
20231218-2,21.72,DSO-RD;,13576,26508
20231218-3,16.24,DSO-RD;,13351,25792
20231218-4,14.35,DSO-RD;,13251,25443
20231218-5,7.27,DSO-RD;,13250,25674
20231218-6,4.14,DSO-RD;,13891,25834
20231218-7,25.75,DSO-RD;,15120,26083
20231218-8,26.97,DSO-RD;,16408,26238
20231218-9,27.15,DSO-RD;,17373,26363
20231218-10,28.64,DSO-RD;,17342,26299
20231218-11,32.49,DSO-RD;,17601,26573
20231218-12,29.76,DSO-RD;,17809,26769
20231218-13,29.04,DSO-RD;,17515,27359
20231218-14,28.94,DSO-RD;,17507,27672
20231218-15,29.86,DSO-RD;,17637,27919
20231218-16,27.06,DSO-RD;,17718,27815
20231218-17,29.26,DSO-RD;,18364,28068
20231218-18,31.82,DSO-RD;,19033,28229
20231218-19,28.42,DSO-RD;,18487,28305
20231218-20,27.77,DSO-RD;,18385,28123
20231218-21,27.4,DSO-RD;,17978,27952
20231218-22,29.83,DSO-RD;,17695,28095
20231218-23,26.86,DSO-RD;,16626,28318
20231218-24,22.24,DSO-RD;,15584,28467
20240218-1,22.35,DSO-RD;,15486,28684
20240218-2,22.23,DSO-RD;,15336,28775
20240218-3,25.21,DSO-RD;,15029,28692
20240218-4,14.38,DSO-RD;,14861,28664
20240218-5,14.39,DSO-RD;,14795,28836
20240218-6,14.87,DSO-RD;,14808,28842
20240218-7,21.96,DSO-RD;,15377,28818
20240218-8,21.79,DSO-RD;,15824,28827
20240218-9,22.61,DSO-RD;,16353,28902
20240218-10,22.21,DSO-RD;,16918,28994
20240218-11,22.73,DSO-RD;,17198,28915
20240218-12,22.53,DSO-RD;,17369,28912
20240218-13,22.29,DSO-RD;,17180,28934
20240218-14,20.11,DSO-RD;,16706,28976
20240218-15,22.19,DSO-RD;,16668,28918
20240218-16,20.58,DSO-RD;,17104,28904
20240218-17,20.8,DSO-RD;,17563,28722
20240218-18,23.71,DSO-RD;,18021,28610
20240218-19,27.22,DSO-RD;,18221,28049
20240218-20,27.93,DSO-RD;,17987,27853
20240218-21,23.89,DSO-RD;,17534,27558
20240218-22,23.78,DSO-RD;,16963,27167
20240218-23,22.62,DSO-RD;,16259,27409
20240218-24,27.53,DSO-RD;,15747,27131
20240224-1,24.26,DSO-RD;,15475,27035
20240224-2,23.54,DSO-RD;,15285,26749
20240224-3,19.79,DSO-RD;,15197,26754
20240224-4,20.11,DSO-RD;,15108,26652
20240224-5,20.16,DSO-RD;,15131,26285
20240224-6,20.54,DSO-RD;,15655,26229
20240224-7,25.96,DSO-RD;,16517,26088
20240224-8,27.71,DSO-RD;,17055,25741
20240224-9,27.3,DSO-RD;,16871,25666
20240224-10,25.1,DSO-RD;,16488,25598
20240224-11,24.46,DSO-RD;,16035,25458
20240224-12,26.25,DSO-RD;,16048,25437
20240224-13,24.1,DSO-RD;,15977,25162
20240224-14,23.45,DSO-RD;,15721,25089
20240224-15,23.51,DSO-RD;,15532,25068
20240224-16,24.54,DSO-RD;,15780,24895
20240224-17,25.02,DSO-RD;,16737,24611
20240224-18,30.21,DSO-RD;,17933,24359
20240224-19,33.24,DSO-RD;,18647,24346
20240224-20,38.14,DSO-RD;,18422,24422
20240224-21,33.34,DSO-RD;,17828,24659
20240224-22,28.7,DSO-RD;,17144,25053
20240224-23,24.1,DSO-RD;,16438,25568
20240224-24,21.74,DSO-RD;,15963,26618
20240226-1,23.5,DSO-RD;,14120,26598
20240226-2,25.75,DSO-RD;,14010,26264
20240226-3,23.14,DSO-RD;,14102,25680
20240226-4,23.12,DSO-RD;,14178,25373
20240226-5,23.13,DSO-RD;,14348,25472
20240226-6,26.38,DSO-RD;,14884,25093
20240226-7,40.42,DSO-RD;,16326,25129
20240226-8,37.52,DSO-RD;,17390,24937
20240226-9,27.87,DSO-RD;,16968,25171
20240226-10,31.76,DSO-RD;,16589,25555
20240226-11,25.11,DSO-RD;,15732,25127
20240226-12,23.64,DSO-RD;,15137,25198
20240226-13,22.48,DSO-RD;,15279,25345
20240226-14,22.45,DSO-RD;,15162,25459
20240226-15,22.46,DSO-RD;,15115,25645
20240226-16,22.21,DSO-RD;,15596,25647
20240226-17,26.47,DSO-RD;,16479,25470
20240226-18,32.77,DSO-RD;,17557,26498
20240226-19,26.67,DSO-RD;,17676,26991
20240226-20,24.07,DSO-RD;,17386,27894
20240226-21,22.47,DSO-RD;,17047,28542
20240226-22,22.73,DSO-RD;,16597,28707
20240226-23,22.55,DSO-RD;,15672,28786
20240226-24,35.34,DSO-RD;,14858,28745
20231226-1,25.02,DSO-RD;,12831,27869
20231226-2,7.97,DSO-RD;,12490,27571
20231226-3,5.78,DSO-RD;,12117,27612
20231226-4,4.72,DSO-RD;,12029,27669
20231226-5,5.69,DSO-RD;,12106,27746
20231226-6,13.53,DSO-RD;,12509,27798
20231226-7,24.22,DSO-RD;,13050,27567
20231226-8,25.08,DSO-RD;,13548,27379
20231226-9,23.96,DSO-RD;,13996,27342
20231226-10,23.41,DSO-RD;,14353,27125
20231226-11,26.01,DSO-RD;,14637,26990
20231226-12,28.67,DSO-RD;,15082,26808
20231226-13,29.16,DSO-RD;,15231,26535
20231226-14,29.29,DSO-RD;,15214,26544
20231226-15,29.09,DSO-RD;,15231,26627
20231226-16,30.27,DSO-RD;,15407,26573
20231226-17,32.67,DSO-RD;,15967,26512
20231226-18,31.94,DSO-RD;,16333,26560
20231226-19,31.38,DSO-RD;,16124,26645
20231226-20,29.67,DSO-RD;,15841,26659
20231226-21,29.33,DSO-RD;,15472,26589
20231226-22,30.79,DSO-RD;,15001,26605
20231226-23,28.37,DSO-RD;,14223,26252
20231226-24,24.92,DSO-RD;,13453,26199
20231227-1,26.32,DSO-RD;,12905,26440
20231227-2,25.63,DSO-RD;,12489,25539
20231227-3,22.59,DSO-RD;,12297,25480
20231227-4,15.8,DSO-RD;,12317,25450
20231227-5,21.71,DSO-RD;,12505,25512
20231227-6,24.7,DSO-RD;,12891,25544
20231227-7,24.74,DSO-RD;,13723,25481
20231227-8,25.06,DSO-RD;,14466,25525
20231227-9,27.35,DSO-RD;,15086,25535
20231227-10,27.96,DSO-RD;,15575,25614
20231227-11,29.45,DSO-RD;,16102,25341
20231227-12,29.68,DSO-RD;,16487,25760
20231227-13,30.25,DSO-RD;,16731,25609
20231227-14,29.61,DSO-RD;,16631,25684
20231227-15,28.47,DSO-RD;,16462,25748
20231227-16,29.53,DSO-RD;,16504,25891
20231227-17,31.09,DSO-RD;,16903,25735
20231227-18,32.81,DSO-RD;,17358,25800
20231227-19,31.26,DSO-RD;,17040,25821
20231227-20,29.72,DSO-RD;,16787,25711
20231227-21,27.77,DSO-RD;,16363,25767
20231227-22,27.94,DSO-RD;,15724,25836
20231227-23,24.98,DSO-RD;,14872,25865
20231227-24,25.18,DSO-RD;,14012,25791
20240227-1,15.06,DSO-RD;,14081,28794
20240227-2,14.42,DSO-RD;,13870,28909
20240227-3,5.1,DSO-RD;,13656,28982
